property_name,society,price,price_per_sqft,areaWithType,bedRoom,bathroom,balcony,additionalRoom,address,floorNum,facing,agePossession,nearbyLocations,description,furnishDetails,features,rating
3 BHK Flat in Chinar Park,"on request, new booking",0.46,4239.0,Super Built up area 1085(100.8 sq.m.)Carpet area: 850 sq.ft. (78.97 sq.m.),3.0,2,2,not available,"Chinar Park, Kolkata East, Kolkata",2,North-East,1 to 5 Year Old,"['Shitala Mandir', 'State bank of india ATM', 'Axis bank ATM', 'Union bank of india ATM', 'Bank of baroda ATM', 'Hdfc bank ATM', 'Icici bank ATM', 'Allahabad bank ATM', 'Kolkata Nursing Home', 'Maa Sarada Nursing Home', 'Charnock Hospital Pvt Ltd', 'Little Hut Nirikshan Kendra', 'Renaissance Hospital', 'Spandan Hospital', 'B B Eye Foundation VIP ROAD', 'CGHS Dispensary', 'New Life Nursing Home Kolkata', 'Avenue Nursing Home', 'Swasti Nursing Home', 'New Town Nursing Home And Diagnostic Co P Ltd', 'Phoenix Hospital And Diagnostic Centre Pvt Ltd', 'Bhattacharya Orthopaedics and Related Research Centre Pvt Ltd', 'Netram Eye Hospital', 'Revive Nursing Home', 'Tulip Nursing Home', 'Aparna Nursing Home', 'Dr. Rathikul Hasan', 'ILS Hospitals - Dumdum', 'North Point Nursing Home Pvt. Ltd', 'Airport Bus Stand lines VS1', 'Hdfc bank', 'KFC', ""McDonald's"", 'KFC', 'O-Zone Restaurant cum Bar', 'KATHI JUNCTION', 'Stash Cafe', 'Little Friends school', 'Calcutta Public School']","Features & amenities :-
 Rooftop community (Conference) hall.
 Power backup facility.
 Purified water supply.
 24x7 gated security.
 Cctv camera surveillance.
 All leading bank loan available.
 Each floor 4 flats.
 Corner plot.
 Road wide 15 feet.
 Parking charges 6.5 lakh only. 
 Only interested person please contact us, we are happy to help
 You
 Additional details :The apartment has borings water supply.
No power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Water Storage', 'Visitor Parking']","['Lifestyle4 out of 5', 'Safety4.2 out of 5', 'Connectivity4.2 out of 5', 'Environment4 out of 5']"
3 BHK Flat in Chinar Park,on request,0.45,4352.0,Super Built up area 1034(96.06 sq.m.)Carpet area: 810 sq.ft. (75.25 sq.m.),3.0,2,1,not available,"Chinar Park, Kolkata East, Kolkata",3,South,1 to 5 Year Old,"['Shitala Mandir', 'State bank of india ATM', 'Axis bank ATM', 'Union bank of india ATM', 'Bank of baroda ATM', 'Hdfc bank ATM', 'Icici bank ATM', 'Allahabad bank ATM', 'Kolkata Nursing Home', 'Maa Sarada Nursing Home', 'Charnock Hospital Pvt Ltd', 'Little Hut Nirikshan Kendra', 'Renaissance Hospital', 'Spandan Hospital', 'B B Eye Foundation VIP ROAD', 'CGHS Dispensary', 'Avenue Nursing Home', 'New Life Nursing Home Kolkata', 'Swasti Nursing Home', 'New Town Nursing Home And Diagnostic Co P Ltd', 'Phoenix Hospital And Diagnostic Centre Pvt Ltd', 'Bhattacharya Orthopaedics and Related Research Centre Pvt Ltd', 'Netram Eye Hospital', 'Aparna Nursing Home', 'Dr. Rathikul Hasan', 'Tulip Nursing Home', 'Revive Nursing Home', 'ILS Hospitals - Dumdum', 'North Point Nursing Home Pvt. Ltd', 'Airport Bus Stand lines VS1', 'Hdfc bank', 'KFC', ""McDonald's"", 'KFC', 'O-Zone Restaurant cum Bar', 'KATHI JUNCTION', 'Stash Cafe', 'Little Friends school', 'Calcutta Public School']","Features & amenities :-
 Rooftop community (Conference) hall.
 Power backup facility.
 Purified water supply.
 24x7 gated security.
 Cctv camera surveillance.
 All leading bank loan available.
 Each floor 4 flats.
 Corner plot.
 Road wide 15 feet.
 Parking charges 6.5 lakh only. 
 Only interested person please contact us, we are happy to help
 You
 Additional details :The apartment has borings water supply.
No power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",,"['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking']","['Lifestyle4 out of 5', 'Safety4.2 out of 5', 'Connectivity4.2 out of 5', 'Environment4 out of 5']"
2 BHK Flat in Hindmotor,ganesh plaza(new booking),0.18,2500.0,Super Built up area 723(67.17 sq.m.),2.0,2,1,not available,"Near:Kamala Ray Hospital, Beside Gt Road., Hindmotor, Kolkata West, Kolkata",3,North-East,0 to 1 Year Old,"['Re - Life Hospital', 'Kamala Ray Hospital', 'Park Lions Hospital', 'ESI Hospital', 'College of Medicine & Sagore Dutta Hospital', 'Care Nursing Home', 'Green-View Nursing Home Kolkata', 'Netaji Sebayan Hospital', 'Arogya Niketan Pvt. Ltd', 'Sunayan Eye Clinic', 'Uttarpara State General Hospital', 'We Care Nursing Home And Diagnostic Centre - Hooghly', 'Konnagar Matri Sadan Municipal Hospital', 'Vasan Eye Care Hospital Sodepur', 'Nayandeep Eye Care', 'Makhla High School', 'Hind motor railway station', 'Uttarpara railway station']","This lovely 2 bhk apartment/flat in hindmotor is available for sale in one of kolkata west's most popular projects, ganesh plaza(New booking). The floor plan additionally contains 2 bedroom(s), 2 bathrooms and 1 balcony. All in all, the flat is spread over a super built up area of 723 sq.Ft. This flat lies on the top level of a 3 storey building. As the project is already ready to move, so you can easily move into this 0-1 year old property.",,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Waste Disposal']","['Lifestyle3.9 out of 5', 'Safety3.7 out of 5', 'Connectivity3.8 out of 5', 'Environment3.7 out of 5']"
3 BHK Flat in Konnagar,upoher heights(new booking-semi complex),0.35,2700.0,Super Built up area 1304(121.15 sq.m.),3.0,2,2,pooja room,"Municipal Corporation Area,5min Distance From Station By Toto., Konnagar, Kolkata West, Kolkata",5,South-East,0 to 1 Year Old,"['Kanaipur Barowaritala Kali Mandir', 'Konnagar Matri Sadan Municipal Hospital', 'Re - Life Hospital', 'Kamala Ray Hospital', 'Park Lions Hospital', 'Vasan Eye Care Hospital Sodepur', 'Green-View Nursing Home Kolkata', 'Restroative Clinic Pvt.Ltd.', 'Dewan Medicare And Nursing Home', 'Sree Balaram Seva Mandir State General Hospital', 'Sankara Jyoti Eye Institute', 'Netaji Sebayan Hospital', 'Rahara bazar bus depot', 'Icici bank', 'Hind motor railway station', 'Sodpur railway station']","Looking for a 3 bhk property for sale in kolkata west? Buy this 3 bhk flat in upoher heights(New booking-Semi complex) that is situated in konnagar, kolkata west. The floor plan additionally contains 3 bedroom(s), 2 bathrooms and 2 balconies. All in all, the flat is spread over a super built up area of 1304 sq.Ft. The residential building has 6 floors in total and the flat for sale is located on the 5th floor. This 0-1 year old property is available for immediate possession as the project is ready to move.",,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Natural Light', 'Airy Rooms', 'Fitness Centre / GYM', 'Waste Disposal', 'Club house / Community Center']","['Lifestyle3.7 out of 5', 'Safety3.8 out of 5', 'Connectivity4.1 out of 5', 'Environment3.9 out of 5']"
3 BHK Flat in Konnagar,upoher heights(new booking-semi complex),0.29,2700.0,Super Built up area 1065(98.94 sq.m.),3.0,2,1,not available,"Municipal Corporation Area,near:Sakti Sangha Club., Konnagar, Kolkata West, Kolkata",3,South-West,0 to 1 Year Old,"['Kanaipur Barowaritala Kali Mandir', 'Konnagar Matri Sadan Municipal Hospital', 'Re - Life Hospital', 'Kamala Ray Hospital', 'Park Lions Hospital', 'Vasan Eye Care Hospital Sodepur', 'Green-View Nursing Home Kolkata', 'Dewan Medicare And Nursing Home', 'Restroative Clinic Pvt.Ltd.', 'Sree Balaram Seva Mandir State General Hospital', 'Sankara Jyoti Eye Institute', 'Rahara bazar bus depot', 'Icici bank', 'Vivekananda English Academy', 'Hind motor railway station']","This 3 bhk flat is located in upoher heights(New booking-Semi complex), which houses some of the most spacious flats in konnagar, kolkata west. The flat is over 1065 sq.Ft. Super built up area and comes with 3 bedroom(s), 2 bathrooms and 1 balcony. The property is located on the 3rd floor of a 6 floors tall building. This 0-1 year old property is available for immediate possession as the project is ready to move.",,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Fitness Centre / GYM', 'Waste Disposal', 'Club house / Community Center']","['Lifestyle3.7 out of 5', 'Safety3.8 out of 5', 'Connectivity4.1 out of 5', 'Environment3.9 out of 5']"
2 BHK Flat in Konnagar,upoher heights(new booking-semi complex),0.29,2700.0,Super Built up area 1080(100.34 sq.m.),2.0,2,2,not available,"Near: Konnager Rabindra Bhavan, Closed To Gt Road., Konnagar, Kolkata West, Kolkata",5,North-West,0 to 1 Year Old,"['Kanaipur Barowaritala Kali Mandir', 'Konnagar Matri Sadan Municipal Hospital', 'Re - Life Hospital', 'Kamala Ray Hospital', 'Park Lions Hospital', 'Vasan Eye Care Hospital Sodepur', 'Green-View Nursing Home Kolkata', 'Dewan Medicare And Nursing Home', 'Restroative Clinic Pvt.Ltd.', 'Sree Balaram Seva Mandir State General Hospital', 'Sankara Jyoti Eye Institute', 'Rahara bazar bus depot', 'Icici bank', 'Vivekananda English Academy', 'Hind motor railway station']","Upoher heights(New booking-Semi complex) is one of kolkata west's most sought after destination for apartments and this 2 bhk flat in konnagar is your opportunity to be a part of this community. The flat occupies a super built up area of 1080 sq.Ft. That consists of 2 bedrooms, 2 bathrooms and 2 balconies. The flat has a total of 6 floors and this property is situated on 5th floor. As the project is already ready to move, so you can easily move into this 0-1 year old property.",,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Fitness Centre / GYM', 'Waste Disposal', 'Club house / Community Center']","['Lifestyle3.7 out of 5', 'Safety3.8 out of 5', 'Connectivity4.1 out of 5', 'Environment3.9 out of 5']"
2 BHK Flat in Konnagar,upoher heights(new booking-semi complex),0.29,2700.0,Super Built up area 1085(100.8 sq.m.),2.0,2,1,not available,"Municipal Corporation Area,near:D Waldies Bus Stop., Konnagar, Kolkata West, Kolkata",1,North-East,0 to 1 Year Old,"['Kanaipur Barowaritala Kali Mandir', 'Konnagar Matri Sadan Municipal Hospital', 'Re - Life Hospital', 'Kamala Ray Hospital', 'Park Lions Hospital', 'Vasan Eye Care Hospital Sodepur', 'Green-View Nursing Home Kolkata', 'Dewan Medicare And Nursing Home', 'Restroative Clinic Pvt.Ltd.', 'Sree Balaram Seva Mandir State General Hospital', 'Sankara Jyoti Eye Institute', 'Netaji Sebayan Hospital', 'Rahara bazar bus depot', 'Icici bank', 'Vivekananda English Academy', 'Hind motor railway station', 'Sodpur railway station']","This 2 bhk apartment is available for sale in upoher heights(New booking-Semi complex), one of the most prominent projects for flats in konnagar, kolkata west. Constructed on a super built up area of 1085 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms and 1 balcony. The property is located on the 1st floor of a 6 floors tall building. This is a ready to move project and the property is 0-1 year old.",,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Fitness Centre / GYM', 'Waste Disposal', 'Club house / Community Center']","['Lifestyle3.7 out of 5', 'Safety3.8 out of 5', 'Connectivity4.1 out of 5', 'Environment3.9 out of 5']"
2 BHK Flat in Konnagar,nexus apartment(new booking),0.14,2200.0,Super Built up area 635(58.99 sq.m.),2.0,2,1,not available,"Near: Konnager Sakti Sangha Club, Walking Distance 2min From Gt Road., Konnagar, Kolkata West, Kolkata",0,North-East,0 to 1 Year Old,"['Re - Life Hospital', 'Kamala Ray Hospital', 'Konnagar Matri Sadan Municipal Hospital', 'Park Lions Hospital', 'Green-View Nursing Home Kolkata', 'Vasan Eye Care Hospital Sodepur', 'Restroative Clinic Pvt.Ltd.', 'Netaji Sebayan Hospital', 'ESI Hospital', 'Dewan Medicare And Nursing Home', 'College of Medicine & Sagore Dutta Hospital', 'Sree Balaram Seva Mandir State General Hospital', 'Sankara Jyoti Eye Institute', 'Rathindra Cinema', 'Hind motor railway station', 'Sodpur railway station']","Nexus apartment(New booking) is one of the most popular destination for buying apartments/ flats in konnagar, kolkata west. You too can be a part of this society by purchasing this 2 bhk flat here. The flat is over 635 sq.Ft. Super built up area and comes with 2 bedroom(s), 2 bathrooms and 1 balcony. This flat lies on the ground level of a 4 storey building. This 0-1 year old property is available for immediate possession as the project is ready to move.",,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Waste Disposal']","['Lifestyle3.7 out of 5', 'Safety3.8 out of 5', 'Connectivity4.1 out of 5', 'Environment3.9 out of 5']"
3 BHK Flat in Konnagar,nexus apartment (new booking),0.21,2450.0,Super Built up area 875(81.29 sq.m.),3.0,2,1,not available,"Near:-Bsnl Telephone Exchange,1minnutes Distance From Gt Road., Konnagar, Kolkata West, Kolkata",2,North-East,0 to 1 Year Old,"['Re - Life Hospital', 'Kamala Ray Hospital', 'Konnagar Matri Sadan Municipal Hospital', 'Park Lions Hospital', 'Green-View Nursing Home Kolkata', 'Vasan Eye Care Hospital Sodepur', 'Restroative Clinic Pvt.Ltd.', 'Netaji Sebayan Hospital', 'Dewan Medicare And Nursing Home', 'ESI Hospital', 'College of Medicine & Sagore Dutta Hospital', 'Sree Balaram Seva Mandir State General Hospital', 'Sankara Jyoti Eye Institute', 'Rathindra Cinema', 'Hind motor railway station', 'Sodpur railway station']","This 3 bhk apartment is available for sale in nexus apartment (New booking), one of the most prominent projects for flats in konnagar, kolkata west. The flat is over 875 sq.Ft. Super built up area and comes with 3 bedroom(s), 2 bathrooms and 1 balcony. The residential building has 4 floors in total and the flat for sale is located on the 2nd floor. Being a ready to move project, you can expect immediate possession of this 0-1 year old property.",,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Waste Disposal']","['Lifestyle3.7 out of 5', 'Safety3.8 out of 5', 'Connectivity4.1 out of 5', 'Environment3.9 out of 5']"
2 BHK Flat in Konnagar,nexus apartment(new booking),0.21,2350.0,Super Built up area 875(81.29 sq.m.),2.0,2,1,not available,"Near:Maa Sarada Hospital, Municipal Corporation Area., Konnagar, Kolkata West, Kolkata",1,North-West,0 to 1 Year Old,"['Re - Life Hospital', 'Kamala Ray Hospital', 'Konnagar Matri Sadan Municipal Hospital', 'Park Lions Hospital', 'Green-View Nursing Home Kolkata', 'Vasan Eye Care Hospital Sodepur', 'Restroative Clinic Pvt.Ltd.', 'Netaji Sebayan Hospital', 'Dewan Medicare And Nursing Home', 'ESI Hospital', 'College of Medicine & Sagore Dutta Hospital', 'Sree Balaram Seva Mandir State General Hospital', 'Sankara Jyoti Eye Institute', 'Rathindra Cinema', 'Hind motor railway station', 'Sodpur railway station']","Looking for a 2 bhk property for sale in kolkata west? Buy this 2 bhk flat in nexus apartment(New booking) that is situated in konnagar, kolkata west. Constructed on a super built up area of 875 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms and 1 balcony. This flat lies on the 1st level of a 4 storey building. Being a ready to move project, you can expect immediate possession of this 0-1 year old property.",,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Waste Disposal']","['Lifestyle3.7 out of 5', 'Safety3.8 out of 5', 'Connectivity4.1 out of 5', 'Environment3.9 out of 5']"
2 BHK Flat in Hindmotor,ghosh apartment(new booking),0.16,2400.0,Super Built up area 675(62.71 sq.m.),2.0,2,1,not available,"Near:Nandan Kanan Durga Mondir,8min Walking Distance From Station., Hindmotor, Kolkata West, Kolkata",1,North-East,0 to 1 Year Old,"['Kanaipur Barowaritala Kali Mandir', 'Re - Life Hospital', 'Park Lions Hospital', 'Kamala Ray Hospital', 'Konnagar Matri Sadan Municipal Hospital', 'Care Nursing Home', 'Arogya Niketan Pvt. Ltd', 'We Care Nursing Home And Diagnostic Centre - Hooghly', 'Sunayan Eye Clinic', 'Uttarpara State General Hospital', 'Green-View Nursing Home Kolkata', 'ESI Hospital', 'Makhla High School', 'Hind motor railway station', 'Uttarpara railway station']","Check out this 2 bhk apartment for sale in ghosh apartment(New booking), a popular residential project that houses in-Demand flats in hindmotor, kolkata west. The floor plan additionally contains 2 bedroom(s), 2 bathrooms and 1 balcony. All in all, the flat is spread over a super built up area of 675 sq.Ft. The property is located on the 1st floor of a 4 floors tall building. As the project is already ready to move, so you can easily move into this 0-1 year old property.",,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Waste Disposal']","['Lifestyle3.9 out of 5', 'Safety3.7 out of 5', 'Connectivity3.8 out of 5', 'Environment3.7 out of 5']"
2 BHK Flat in Konnagar,ganesh apartment(new booking),0.14,2400.0,Super Built up area 602(55.93 sq.m.),2.0,2,1,not available,"Municipal Corporation Area,near:L-Pukur Battola., Konnagar, Kolkata West, Kolkata",2,North-West,0 to 1 Year Old,"['Kanaipur Barowaritala Kali Mandir', 'Park Lions Hospital', 'Re - Life Hospital', 'Kamala Ray Hospital', 'Konnagar Matri Sadan Municipal Hospital', 'Kanaipur Rural Hospital', 'Arogya Niketan Pvt. Ltd', 'Makhla High School', 'Hind motor railway station', 'Uttarpara railway station']","Looking for a 2 bhk property for sale in kolkata west? Buy this 2 bhk flat in ganesh apartment(New booking) that is situated in konnagar, kolkata west. Containing 2 bedroom(s), 2 bathrooms and 1 balcony, this flat is spread over a super built up area of 602 sq.Ft. The residential building has 4 floors in total and the flat for sale is located on the 2nd floor. An added advantage of this 0-1 year old flat is that it is available for immediate possession as the project is already ready to move.",,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking']","['Lifestyle3.7 out of 5', 'Safety3.8 out of 5', 'Connectivity4.1 out of 5', 'Environment3.9 out of 5']"
2 BHK Flat in Konnagar,jai ganesh apartment(new booking),0.23,2500.0,Super Built up area 906(84.17 sq.m.),2.0,2,1,not available,"Municipal Corporation Area,near:D Waldies Bus Stop., Konnagar, Kolkata West, Kolkata",5,South-West,0 to 1 Year Old,"['Re - Life Hospital', 'Kamala Ray Hospital', 'Konnagar Matri Sadan Municipal Hospital', 'Park Lions Hospital', 'Green-View Nursing Home Kolkata', 'Vasan Eye Care Hospital Sodepur', 'Restroative Clinic Pvt.Ltd.', 'Dewan Medicare And Nursing Home', 'Netaji Sebayan Hospital', 'ESI Hospital', 'Sree Balaram Seva Mandir State General Hospital', 'Sankara Jyoti Eye Institute', 'College of Medicine & Sagore Dutta Hospital', 'Icici bank', 'Rathindra Cinema', 'Hind motor railway station', 'Sodpur railway station']","This 2 bhk flat is located in jai ganesh apartment(New booking), which houses some of the most spacious flats in konnagar, kolkata west. The flat occupies a super built up area of 906 sq.Ft. That consists of 2 bedrooms, 2 bathrooms and 1 balcony. This flat lies on the top level of a 5 storey building. An added advantage of this 0-1 year old flat is that it is available for immediate possession as the project is already ready to move.",,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Waste Disposal']","['Lifestyle3.7 out of 5', 'Safety3.8 out of 5', 'Connectivity4.1 out of 5', 'Environment3.9 out of 5']"
2 BHK Flat in Konnagar,jai ganesh apartment(new booking),0.18,2500.0,Super Built up area 728(67.63 sq.m.),2.0,2,1,not available,"Near:Sakti Sangha Club, Konnager Municipal Corporation., Konnagar, Kolkata West, Kolkata",5,South-East,0 to 1 Year Old,"['Re - Life Hospital', 'Kamala Ray Hospital', 'Konnagar Matri Sadan Municipal Hospital', 'Park Lions Hospital', 'Green-View Nursing Home Kolkata', 'Vasan Eye Care Hospital Sodepur', 'Restroative Clinic Pvt.Ltd.', 'Dewan Medicare And Nursing Home', 'Netaji Sebayan Hospital', 'Sree Balaram Seva Mandir State General Hospital', 'Sankara Jyoti Eye Institute', 'ESI Hospital', 'College of Medicine & Sagore Dutta Hospital', 'Rathindra Cinema', 'Icici bank', 'Hind motor railway station', 'Sodpur railway station']","Jai ganesh apartment(New booking) is one of the most popular destination for buying apartments/ flats in konnagar, kolkata west. You too can be a part of this society by purchasing this 2 bhk flat here. The floor plan additionally contains 2 bedroom(s), 2 bathrooms and 1 balcony. All in all, the flat is spread over a super built up area of 728 sq.Ft. This flat is situated on the top floor of this 5 floors tall residential building. An added advantage of this 0-1 year old flat is that it is available for immediate possession as the project is already ready to move.",,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Waste Disposal']","['Lifestyle3.7 out of 5', 'Safety3.8 out of 5', 'Connectivity4.1 out of 5', 'Environment3.9 out of 5']"
2 BHK Flat in Konnagar,ganapati apartment(new booking),0.17,2300.0,Super Built up area 760(70.61 sq.m.),2.0,2,1,not available,"Municipal Corporation, Walking Distance 10min From Station., Konnagar, Kolkata West, Kolkata",1,South-East,0 to 1 Year Old,"['Kanaipur Barowaritala Kali Mandir', 'Park Lions Hospital', 'Re - Life Hospital', 'Kamala Ray Hospital', 'Konnagar Matri Sadan Municipal Hospital', 'Kanaipur Rural Hospital', 'Arogya Niketan Pvt. Ltd', 'Care Nursing Home', 'We Care Nursing Home And Diagnostic Centre - Hooghly', 'Makhla High School', 'Hind motor railway station', 'Uttarpara railway station']","Looking for a 2 bhk property for sale in kolkata west? Buy this 2 bhk flat in ganapati apartment(New booking) that is situated in konnagar, kolkata west. Containing 2 bedroom(s), 2 bathrooms and 1 balcony, this flat is spread over a super built up area of 760 sq.Ft. The flat has a total of 4 floors and this property is situated on 1st floor. An added advantage of this 0-1 year old flat is that it is available for immediate possession as the project is already ready to move.",,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Waste Disposal']","['Lifestyle3.7 out of 5', 'Safety3.8 out of 5', 'Connectivity4.1 out of 5', 'Environment3.9 out of 5']"
2 BHK Flat in Konnagar,ganapati apartment (new booking),0.16,2300.0,Super Built up area 676(62.8 sq.m.),2.0,2,1,not available,"Closed To Railway Station, Municipal Corporation Area., Konnagar, Kolkata West, Kolkata",2,North-East,0 to 1 Year Old,"['Kanaipur Barowaritala Kali Mandir', 'Park Lions Hospital', 'Re - Life Hospital', 'Kamala Ray Hospital', 'Konnagar Matri Sadan Municipal Hospital', 'Kanaipur Rural Hospital', 'Arogya Niketan Pvt. Ltd', 'Care Nursing Home', 'We Care Nursing Home And Diagnostic Centre - Hooghly', 'Makhla High School', 'Hind motor railway station', 'Uttarpara railway station']","Looking for a 2 bhk property for sale in kolkata west? Buy this 2 bhk flat in ganapati apartment (New booking) that is situated in konnagar, kolkata west. Constructed on a super built up area of 676 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms and 1 balcony. This flat lies on the 2nd level of a 4 storey building. An added advantage of this 0-1 year old flat is that it is available for immediate possession as the project is already ready to move.",,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Waste Disposal']","['Lifestyle3.7 out of 5', 'Safety3.8 out of 5', 'Connectivity4.1 out of 5', 'Environment3.9 out of 5']"
2 BHK Flat in Konnagar,ganapati apartment(new booking),0.16,2100.0,Super Built up area 740(68.75 sq.m.),2.0,2,1,not available,"Walking Distance 10min From Konnager Railway Station,near: Aurobindo Ground., Konnagar, Kolkata West, Kolkata",0,South-East,0 to 1 Year Old,"['Kanaipur Barowaritala Kali Mandir', 'Park Lions Hospital', 'Re - Life Hospital', 'Kamala Ray Hospital', 'Konnagar Matri Sadan Municipal Hospital', 'Kanaipur Rural Hospital', 'Arogya Niketan Pvt. Ltd', 'Care Nursing Home', 'We Care Nursing Home And Diagnostic Centre - Hooghly', 'Makhla High School', 'Hind motor railway station', 'Uttarpara railway station']","Check out this 2 bhk apartment for sale in ganapati apartment(New booking), a popular residential project that houses in-Demand flats in konnagar, kolkata west. The flat occupies a super built up area of 740 sq.Ft. That consists of 2 bedrooms, 2 bathrooms and 1 balcony. The property is located on the ground floor of a 4 floors tall building. This is a ready to move project and the property is 0-1 year old.",,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Waste Disposal']","['Lifestyle3.7 out of 5', 'Safety3.8 out of 5', 'Connectivity4.1 out of 5', 'Environment3.9 out of 5']"
