society,price,place,price_per_sqft,areaWithType,bedRoom,bathroom,balcony,additionalRoom,floorNum,facing,agePossession,nearbyLocations,furnishDetails,features,Direction
on request new,0.46,nayabad,4181.0,Super Built up area 1100(102.19 sq.m.),3.0,2,1,others,2,South-East,1 to 5 Year Old,"['Durga mandir', 'Shani mandir garia dhalua', 'Maa kali temple garia dhalua', 'Bikram mess kali mandir', 'Kali temple', 'Bank of baroda ATM', 'Pnb ATM', 'Netaji Subhash Chandra Bose Cancer Reasearch Inst', 'Aditya Birla Sankara Nethralaya', 'Peerless Hospital and B.K.Roy Research Center', 'Sunetra Eye and Family Care Centre', 'Namita Biswas Memorial Eye Hospital', 'Apex Institute Of Medical Sciences', 'A.H.IVF and Infertility Research Centre Ltd', 'Red Cross Society Medical Strore', 'Santoshpur BBD BAG mini bus stopage', 'State bank of india jadavpur stadium branch', 'Trishna fast food', 'Neils Kitchen', 'Cafe Coffee Day', 'Sandwiches', 'Sammilani Mahavidyalaya', 'Biswabani School', 'New garia railway station', 'Garia railway station', 'Bagha jatin railway station', 'Dhakuria public library']",,"['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking']",South
aswini bhavan,0.32,behala,3764.0,Carpet area: 850 (78.97 sq.m.),2.0,2,1,not available,3,East,10+ Year Old,"['Behala Market', 'Sitala Mandir', 'Laxmi Narayan Mandir', 'Hari Sabha', 'Jora Mandir', 'Jagannath Temple', 'Kali Temple', 'Axis bank ATM', 'Sbi ATM', 'Axis bank ATM', 'State bank of india ATM', 'Union bank of india ATM', 'Vivekananda Hospital and Research Institute', ""Kolkata Women's Clinic"", 'Behala Balananda Brahmachari Hospital and Research Center', 'South Suburban Clinic', 'Vidyasagar State General Hospital', 'Pratihar Nursing Home', 'Hope Hospital', 'Kolkata Port Trust Centenary Hospital', 'Mohanananda Brahmachari Sishu Seva Pratisthan', 'James Long Clinic Pvt Limited', 'B.P. Poddar Hospital', 'Bellona Nursing Home And Diagnostic Centre', 'Vivekananda pharmacy', 'Sree Ramkrishna Pharmacy', 'Parnasree Bus Stand', 'Indian Oil Petrol Pump', 'Ajanta Cinema', 'Sarat Sadan', 'Ashoka cinema hall', 'Haji Saheb', 'Panna Sweets', 'PANNA SWEETS', 'Chowman', 'Cream & Fudge', 'Kookie jar', 'Shaw Public Girls High School', 'National Gems Higher Secoundry School', 'Behla Blind School', 'Brace bridge railway station', 'Behala bazar metro railway station', 'Majherhat railway station', 'Remount road railway station', 'Behala chowrasta metro railway station']","['1 Wardrobe', '1 Water Purifier', '4 Fan', '1 Exhaust Fan', '6 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine']",,South
roop apartment,0.45,subodh garden,4390.0,Super Built up area 1025(95.23 sq.m.),3.0,2,2,not available,0,South,5 to 10 Year Old,"['Netaji metro station', 'Sitala Temple', 'Sree Guru Sangha Main Gate', 'Sri Sri 108 Doyal Baba Asram', 'Brahmapur Badamtala Jame Masjid', 'Gosto Mandir', 'Sitala mandir', 'Gouria moth', 'Axis bank ATM', 'Sbi ATM', 'Axis bank ATM', 'Sbi ATM', 'Icici bank ATM', 'Sbi ATM', 'Kumar Surgical and Laparoscopic Clinic', 'Udayan Nursing Home', 'Sevangan Medical Complex', 'Lions North Kolkata Hospital and Medical Centre', 'BRWS Hospital', 'IRIS HOSPITAL', 'Dakshinee Eye Foundation', 'Garia Eye Clinic and Micro Surgery Centre', 'Baghajatin State General Hospital', 'Chandi tala health center', 'Hindustan Health Point Pvt Ltd', 'Red Plus Society Nursing Home', 'Tapan Sinha Memorial Hospital', 'Calcutta Lions Netra Niketan', 'Sree Krishna Nursing Home', 'Remedy Hospital Unit Of Remedy Medical Services Pvt Ltd', 'Apollo Pharmacy', 'CSTC Bus Terminal', 'IOCL Petrol Pump', 'State bank of india bansdroni', 'State bank of india brahmapur branch', 'Bank of baroda', 'Axis bank', 'Hdfc bank brahmapur branch', 'Axis bank', 'Madhuban Cinema', 'Machhranga Airconditioned Multi Cuisine', 'Netaji Nagar College', 'ITI', 'ITI TOLLYGUNGE', 'Swami pranabananda school', 'High Tension Laboratory', 'Electrical Engineering Department', 'Bagha jatin railway station', 'Jadavpur railway station']",,,South
marlin estate,0.47,behala,5000.0,Carpet area: 800 (74.32 sq.m.),2.0,2,1,not available,4,,10+ Year Old,"['Behala Market', 'Jagannath Temple', 'Hari Sabha', 'Laxmi Narayan Mandir', 'Sitala Mandir', 'Kali Temple', 'Shibaloy', 'Jora Mandir', 'Santoshi Maa Mandir', 'Sbi ATM', 'Axis bank ATM', 'Axis bank ATM', 'Union bank of india ATM', 'Vidyasagar State General Hospital', ""Kolkata Women's Clinic"", 'Pratihar Nursing Home', 'Mohanananda Brahmachari Sishu Seva Pratisthan', 'Behala Balananda Brahmachari Hospital and Research Center', 'James Long Clinic Pvt Limited', 'Vivekananda Hospital and Research Institute', 'South Suburban Clinic', 'Hope Hospital', 'Apex Clinic Pvt Ltd', 'Kolkata Port Trust Centenary Hospital', 'B.P. Poddar Hospital', 'CGHS Dispensary Kudghat', 'Orchid Skin Clinic', 'Arogya Maternity and Nursing Home', 'Shradha Health Care Pvt. Ltd', 'Sree Ramkrishna Pharmacy', 'Vivekananda pharmacy', 'Parnasree Bus Stand', 'Indian Oil Petrol Pump', 'Sarat Sadan', 'Ashoka cinema hall', 'Ajanta Cinema', 'Panna Sweets', 'PANNA SWEETS', 'Haji Saheb', 'Chowman', 'Swapan Tea Stall', 'Shaw Public Girls High School', 'National Gems Higher Secoundry School', 'Behla Blind School', 'Behala bazar metro railway station', 'Behala chowrasta metro railway station', 'Brace bridge railway station', 'Majherhat railway station', 'New alipore railway station', 'Remount road railway station']","['1 Water Purifier', '3 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '1 Stove', '5 Light', '2 AC', '1 TV', '1 Chimney', '1 Curtains', '2 Bed', '1 Wardrobe', '1 Sofa', '1 Washing Machine', '1 Microwave', 'No Geyser', 'No Modular Kitchen']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Internet/wi-fi connectivity']",South
bengal peerless anupama housing complex,0.49,kaikhali,5148.0,Super Built up area 1010(93.83 sq.m.)Carpet area: 840 sq.ft. (78.04 sq.m.),3.0,2,1,not available,0,South-East,10+ Year Old,"['Shitala Mandir', 'Lichubagan Radha Krishna Temple', 'Mother Teresa Church', 'Axis bank ATM', 'State bank of india ATM', 'Union bank of india ATM', 'Bank of baroda ATM', 'Hdfc bank ATM', 'Allahabad bank ATM', 'Icici bank ATM', 'Renaissance Hospital', 'Charnock Hospital Pvt Ltd', 'Little Hut Nirikshan Kendra', 'Avenue Nursing Home', 'Spandan Hospital', 'B B Eye Foundation VIP ROAD', 'Maa Sarada Nursing Home', 'CGHS Dispensary', 'Tulip Nursing Home', 'Kolkata Nursing Home', 'New Life Nursing Home Kolkata', 'ILS Hospitals - Dumdum', 'Swasti Nursing Home', 'New Town Nursing Home And Diagnostic Co P Ltd', 'North Point Nursing Home Pvt. Ltd', 'Aparna Nursing Home', 'Dum Dum Municipal Specialised Hospital', 'Revive Nursing Home', 'Phoenix Hospital And Diagnostic Centre Pvt Ltd', 'Aditya Hospital', 'Nayan Jyoti Eye Care Centre', 'Dr. Rathikul Hasan', 'Matri Sadan-O-Swasthya Kendra And General Hospital', 'Manorama Nursing Home', 'Airport Bus Stand lines VS1', 'Nagerbazar nursery', 'Hdfc bank', 'PVR', 'KFC', 'O-Zone Restaurant cum Bar', 'New Rajkumar Sweets', ""McDonald's"", 'KFC', 'KFC', 'Little Friends school', 'Calcutta Public School', 'Dum dum cantonment railway station', 'Durganagar railway station']","['3 Fan', '12 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Recently Renovated', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Shopping Centre', 'Waste Disposal', 'Club house / Community Center', 'Water softening plant']",East
subhasini abasan,0.3,garia,3454.0,Super Built up area 825(76.65 sq.m.)Built Up area: 803 sq.ft. (74.6 sq.m.)Carpet area: 575 sq.ft. (53.42 sq.m.),2.0,2,1,pooja room,2,West,10+ Year Old,"['Kavi nazrul metro station', 'Shahid khudiram metro station', 'Gosto Mandir', 'Sitala mandir', 'Brahmapur Badamtala Jame Masjid', 'Sree Guru Sangha Main Gate', 'Sitala Temple', 'Sri Sri 108 Doyal Baba Asram', 'Icici bank ATM', 'Sbi ATM', 'Axis bank ATM', 'Hindustan Health Point Pvt Ltd', 'Sevangan Medical Complex', 'Garia Eye Clinic and Micro Surgery Centre', 'BRWS Hospital', 'Remedy Hospital Unit Of Remedy Medical Services Pvt Ltd', 'Kumar Surgical and Laparoscopic Clinic', 'IRIS HOSPITAL', 'Udayan Nursing Home', 'Dakshinee Eye Foundation', 'Baghajatin State General Hospital', 'Yubatirtha club', 'Apollo Pharmacy', 'Petrol pump', 'Hdfc bank brahmapur branch', 'Bank of baroda', 'State bank of india brahmapur branch', 'Axis bank', 'Axis bank', 'State bank of india bansdroni', 'Machhranga Airconditioned Multi Cuisine', 'New garia railway station']","['2 Fan', '1 Fridge', '1 Dining Table', '1 Geyser', '1 Sofa', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Exhaust Fan', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",['Water Storage'],South
kamala apartments,0.4,behala,4519.0,Carpet area: 885 (82.22 sq.m.),2.0,1,0,not available,0,North,0 to 1 Year Old,"['Behala Market', 'Laxmi Narayan Mandir', 'Sitala Mandir', 'Jagannath Temple', 'Kali Temple', 'Hari Sabha', 'Santoshi Maa Mandir', 'Shibaloy', 'Jora Mandir', 'Sbi ATM', 'Axis bank ATM', 'Axis bank ATM', 'Union bank of india ATM', 'Vidyasagar State General Hospital', 'Pratihar Nursing Home', ""Kolkata Women's Clinic"", 'James Long Clinic Pvt Limited', 'Mohanananda Brahmachari Sishu Seva Pratisthan', 'Behala Balananda Brahmachari Hospital and Research Center', 'Vivekananda Hospital and Research Institute', 'Apex Clinic Pvt Ltd', 'South Suburban Clinic', 'Hope Hospital', 'CGHS Dispensary Kudghat', 'Kolkata Port Trust Centenary Hospital', 'Sakuntala Nursing Home', 'Prima Orthopaedic Centre', 'Suburban Eye Microsurgery Centre', 'B.P. Poddar Hospital', 'Netaji Eye Hospital', 'Orchid Skin Clinic', 'Sree Ramkrishna Pharmacy', 'Vivekananda pharmacy', 'Parnasree Bus Stand', 'Sarat Sadan', 'Ashoka cinema hall', 'Ajanta Cinema', 'Panna Sweets', 'PANNA SWEETS', 'Haji Saheb', 'Chowman', 'Swapan Tea Stall', 'Shaw Public Girls High School', 'National Gems Higher Secoundry School', 'Behla Blind School', 'Behala bazar metro railway station', 'Behala chowrasta metro railway station', 'Brace bridge railway station', 'Majherhat railway station']",,"['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage']",South
falguni aparmnet,0.3,kalyani,4137.0,Super Built up area 725(67.35 sq.m.),2.0,2,1,pooja room,1,North,10+ Year Old,"['Hdfc ATM', 'Axis bank ATM', 'Bank of baroda ATM', 'Sbi ATM', 'Welcare Clinic', 'Mediview Diagnostic Services Pvt. Ltd.', 'Kalyani Nursing Home', 'Apollo Pharmacy', 'Manav Jiban Pharmacy', 'Jawaharlal Nehru Memorial Hospital', 'Elite Medical Equiment', 'Anupam Pharmacy', 'Frank Ross', 'Icici bank', 'Bandhan bank', 'Yes bank', 'Indian overseas bank', 'United bank of india', 'Ritwik Sadan', 'Spice Valley', 'Dhakeswari Chinese', 'Anurag Snacks', 'Freshpresso', 'Rolla Costa', 'Dhakeswari Palace', 'PM Restaurant', 'Chocolate Hut', 'Green Hut', 'Cafe Adda', 'Royal Hut', 'Subham Roll Center', 'Kalyani ghoshpara railway station', 'Kalyani simanta railway station', 'Kalyani shilpanchal railway station']",,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Water Storage', 'Visitor Parking']",North
propterior,1.9,desopriya park,11543.0,Super Built up area 1646(152.92 sq.m.),3.0,3,1,not available,1,East,1 to 5 Year Old,"['Gariahat Sarbojanin Durgotsab', 'Dr Nihar Munshi Eye Foundation', 'All Asia Medical Institute', 'CGHS Dispensary Dover Lane', 'Micro Surgery Day Centre', 'Prince Nursing Home Kolkata', 'South Calcutta Clinic', 'Quadra Medical Services Pvt Ltd', 'Grandview Nursing Home', 'Omega Optics', 'N G Medicare And Calcutta Hope Infertility Clinic', 'Disha Eye Hospital', 'Park Site Nursing Home', 'Southern Nursing Home', 'Fortis Hospital and Kidney Institute', 'Calcutta Heart Research Center', 'Ramesh Chandra Sen Clinic', 'Nemesis Eye Centre', 'Deshari Complete Eye Care', 'Rama Krishna Mission Seva Pratisthan', 'Amulya Jyoti Eye Foundation', 'Himalaya Vision Care Centre', 'Frank Ross', 'Sri Ramakrishna Pharmacy', 'London paris cinema', 'Hdfc life bank', 'Axis bank', 'Bojangles', 'Bhojohori Manna 6', 'Mirch Masala', 'Roll Shop', 'Momo on The Move', 'Tasty Corner', 'Mystic Yoga Cafe', 'Dhaba', 'Mystic Yoga Cafe & Studio', 'Sienna Store & Cafe', 'Wise Owl', 'Potboiler Coffee House', 'Kasturi', 'Tero Parbon', 'Zucca Lounge', '8th Day Cafe & Bakery', 'Cafe coffee day', 'Ammini', '6 Ballygunge Place', 'Just Baked', 'Patha Bhavan Higher Secondary School', 'Patha Bhavan High School', 'Gita bhavan library']",,"['Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking']",South
bijoy apartment,0.29,rajarhat,3500.0,Super Built up area 842(78.22 sq.m.),2.0,2,1,not available,4,North-West,1 to 5 Year Old,"['Mukherjee Barir Durgadalan', 'Rekjoani Shitala Mandir', 'Dharmaraj Temple', 'Kali Mandir', 'Rajarhat Police Station Kali Temple', 'Radha Krishna Mandir', 'Kanjialpara Shani Mandir', 'Manasha Mandir', 'Kali Temple', 'Kali mandir', 'Kali Mandir', 'Shreeramkhan Kali Bari Temple', 'Hanuman Mandir', 'Krishna Mandir', 'Badamtala Shib Mandir', 'Rajarhat Shitala Kali Temple', 'Masjid', 'Dakbunglow Shani Kali Mandir', 'Nathpara Shib Mandir', 'Nathpara Temple', 'Bhattacharya Orthopaedics and Related Research Centre Pvt Ltd', 'Netram Eye Hospital', 'Geetanjali IT Park', 'Airport Bus Stand lines VS1', 'Indian Oil', 'Stash Cafe', 'KATHI JUNCTION', 'Amity University', 'Aliah University']",,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Water Storage', 'No open drainage around', 'Security Personnel', 'Waste Disposal']",East
bina niketan,0.36,rajarhat,3100.0,Super Built up area 1150(106.84 sq.m.),3.0,2,1,not available,1,East,1 to 5 Year Old,"['Krishna Mandir', 'Badamtala Shib Mandir', 'Masjid', 'Kali Mandir', 'Hanuman Mandir', 'Shreeramkhan Kali Bari Temple', 'Nathpara Temple', 'Nathpara Shib Mandir', 'Dakbunglow Shani Kali Mandir', 'Radha Krishna Mandir', 'Rajarhat Shitala Kali Temple', 'Rajarhat Police Station Kali Temple', 'Rekjoani Shitala Mandir', 'Mukherjee Barir Durgadalan', 'Kanjialpara Shani Mandir', 'Dharmaraj Temple', 'Kali Mandir', 'Kali Temple', 'Manasha Mandir', 'Kali mandir', 'Bhattacharya Orthopaedics and Related Research Centre Pvt Ltd', 'Geetanjali IT Park', 'Indian Oil', 'Stash Cafe', 'Amity University', 'Aliah University']",,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Water Storage', 'No open drainage around', 'Security Personnel', 'Waste Disposal']",East
on request,0.24,dash drone,3000.0,Super Built up area 816(75.81 sq.m.),2.0,2,1,not available,2,West,1 to 5 Year Old,"['Shitala Mandir', 'State bank of india ATM', 'Axis bank ATM', 'Union bank of india ATM', 'Bank of baroda ATM', 'Hdfc bank ATM', 'Allahabad bank ATM', 'Icici bank ATM', 'Maa Sarada Nursing Home', 'Little Hut Nirikshan Kendra', 'Kolkata Nursing Home', 'Charnock Hospital Pvt Ltd', 'Renaissance Hospital', 'CGHS Dispensary', 'Spandan Hospital', 'B B Eye Foundation VIP ROAD', 'Avenue Nursing Home', 'New Life Nursing Home Kolkata', 'Phoenix Hospital And Diagnostic Centre Pvt Ltd', 'Swasti Nursing Home', 'New Town Nursing Home And Diagnostic Co P Ltd', 'Aparna Nursing Home', 'Tulip Nursing Home', 'Dr. Rathikul Hasan', 'ILS Hospitals - Dumdum', 'Revive Nursing Home', 'North Point Nursing Home Pvt. Ltd', 'Netram Eye Hospital', 'Bhattacharya Orthopaedics and Related Research Centre Pvt Ltd', 'Dum Dum Municipal Specialised Hospital', 'Airport Bus Stand lines VS1', 'Hdfc bank', 'KFC', ""McDonald's"", 'KFC', 'O-Zone Restaurant cum Bar', 'KATHI JUNCTION', 'Little Friends school', 'Calcutta Public School']",,['Lift(s)'],East
swapnopuron dashdran,0.34,dash drone,3000.0,Super Built up area 1124(104.42 sq.m.),3.0,2,2,not available,2,West,1 to 5 Year Old,"['Shitala Mandir', 'State bank of india ATM', 'Axis bank ATM', 'Union bank of india ATM', 'Bank of baroda ATM', 'Hdfc bank ATM', 'Allahabad bank ATM', 'Icici bank ATM', 'Maa Sarada Nursing Home', 'Little Hut Nirikshan Kendra', 'Kolkata Nursing Home', 'Charnock Hospital Pvt Ltd', 'Renaissance Hospital', 'CGHS Dispensary', 'Spandan Hospital', 'B B Eye Foundation VIP ROAD', 'Avenue Nursing Home', 'New Life Nursing Home Kolkata', 'Phoenix Hospital And Diagnostic Centre Pvt Ltd', 'Swasti Nursing Home', 'New Town Nursing Home And Diagnostic Co P Ltd', 'Aparna Nursing Home', 'Tulip Nursing Home', 'Dr. Rathikul Hasan', 'ILS Hospitals - Dumdum', 'Revive Nursing Home', 'North Point Nursing Home Pvt. Ltd', 'Netram Eye Hospital', 'Bhattacharya Orthopaedics and Related Research Centre Pvt Ltd', 'Dum Dum Municipal Specialised Hospital', 'Airport Bus Stand lines VS1', 'Hdfc bank', 'KFC', ""McDonald's"", 'KFC', 'O-Zone Restaurant cum Bar', 'KATHI JUNCTION', 'Little Friends school', 'Calcutta Public School']",,['Lift(s)'],East
rudra jyangra battala,0.18,baguiati,2676.0,Super Built up area 655(60.85 sq.m.),2.0,2,1,not available,1,East,1 to 5 Year Old,"['Union bank of india ATM', 'State bank of india ATM', 'Bank of baroda ATM', 'Axis bank ATM', 'Hdfc bank ATM', 'Icici bank ATM', 'Allahabad bank ATM', 'New Life Nursing Home Kolkata', 'New Town Nursing Home And Diagnostic Co P Ltd', 'Swasti Nursing Home', 'B B Eye Foundation VIP ROAD', 'Spandan Hospital', 'Revive Nursing Home', 'Avenue Nursing Home', 'Kolkata Nursing Home', 'Renaissance Hospital', 'Charnock Hospital Pvt Ltd', 'Maa Sarada Nursing Home', 'Little Hut Nirikshan Kendra', 'ILS Hospitals - Dumdum', 'CGHS Dispensary Salt-Lake AF', 'Tulip Nursing Home', 'Aditya Hospital', 'CGHS Dispensary', 'Anandalok Polyclinic', ""BF block Residents' Association"", 'Imagine Tech Park', 'P.S. Srijan Techpark', 'Nagerbazar nursery', 'Hdfc bank', 'PVR', 'KFC', 'O-Zone Restaurant cum Bar', ""McDonald's"", 'KFC', 'New Rajkumar Sweets', 'KFC', ""Santa's Fantasea"", 'Calcutta Public School', 'Little Friends school']",,['Lift(s)'],North
rudra jyangra battala,0.2,baguiati,2700.0,Super Built up area 742(68.93 sq.m.),2.0,2,1,not available,2,South,1 to 5 Year Old,"['Union bank of india ATM', 'State bank of india ATM', 'Bank of baroda ATM', 'Axis bank ATM', 'Hdfc bank ATM', 'Icici bank ATM', 'Allahabad bank ATM', 'New Life Nursing Home Kolkata', 'New Town Nursing Home And Diagnostic Co P Ltd', 'Swasti Nursing Home', 'B B Eye Foundation VIP ROAD', 'Spandan Hospital', 'Revive Nursing Home', 'Avenue Nursing Home', 'Kolkata Nursing Home', 'Renaissance Hospital', 'Charnock Hospital Pvt Ltd', 'Maa Sarada Nursing Home', 'Little Hut Nirikshan Kendra', 'ILS Hospitals - Dumdum', 'CGHS Dispensary Salt-Lake AF', 'Tulip Nursing Home', 'Aditya Hospital', 'CGHS Dispensary', 'Anandalok Polyclinic', ""BF block Residents' Association"", 'Imagine Tech Park', 'P.S. Srijan Techpark', 'Nagerbazar nursery', 'Hdfc bank', 'PVR', 'KFC', 'O-Zone Restaurant cum Bar', ""McDonald's"", 'KFC', 'New Rajkumar Sweets', 'KFC', ""Santa's Fantasea"", 'Calcutta Public School', 'Little Friends school']",,['Lift(s)'],North
on request,0.19,baguiati,2697.0,Super Built up area 718(66.7 sq.m.),2.0,2,1,not available,3,South-West,1 to 5 Year Old,"['Union bank of india ATM', 'State bank of india ATM', 'Bank of baroda ATM', 'Axis bank ATM', 'Hdfc bank ATM', 'Icici bank ATM', 'Allahabad bank ATM', 'New Life Nursing Home Kolkata', 'New Town Nursing Home And Diagnostic Co P Ltd', 'Swasti Nursing Home', 'B B Eye Foundation VIP ROAD', 'Spandan Hospital', 'Revive Nursing Home', 'Avenue Nursing Home', 'Kolkata Nursing Home', 'Renaissance Hospital', 'Charnock Hospital Pvt Ltd', 'Maa Sarada Nursing Home', 'Little Hut Nirikshan Kendra', 'ILS Hospitals - Dumdum', 'CGHS Dispensary Salt-Lake AF', 'Tulip Nursing Home', 'Aditya Hospital', 'CGHS Dispensary', 'Anandalok Polyclinic', ""BF block Residents' Association"", 'Imagine Tech Park', 'P.S. Srijan Techpark', 'Nagerbazar nursery', 'Hdfc bank', 'PVR', 'KFC', 'O-Zone Restaurant cum Bar', ""McDonald's"", 'KFC', 'New Rajkumar Sweets', 'KFC', ""Santa's Fantasea"", 'Calcutta Public School', 'Little Friends school']",,['Lift(s)'],North
rudra jyangra battala,0.3,baguiati,2698.0,Super Built up area 1130(104.98 sq.m.),3.0,2,1,not available,2,North-East,1 to 5 Year Old,"['Union bank of india ATM', 'State bank of india ATM', 'Axis bank ATM', 'Bank of baroda ATM', 'Hdfc bank ATM', 'Icici bank ATM', 'Allahabad bank ATM', 'New Life Nursing Home Kolkata', 'New Town Nursing Home And Diagnostic Co P Ltd', 'Swasti Nursing Home', 'B B Eye Foundation VIP ROAD', 'Spandan Hospital', 'Kolkata Nursing Home', 'Avenue Nursing Home', 'Revive Nursing Home', 'Renaissance Hospital', 'Charnock Hospital Pvt Ltd', 'Maa Sarada Nursing Home', 'Little Hut Nirikshan Kendra', 'ILS Hospitals - Dumdum', 'CGHS Dispensary Salt-Lake AF', 'Tulip Nursing Home', 'CGHS Dispensary', 'Aditya Hospital', 'Anandalok Polyclinic', ""BF block Residents' Association"", 'Imagine Tech Park', 'P.S. Srijan Techpark', 'Airport Bus Stand lines VS1', 'Nagerbazar nursery', 'Hdfc bank', 'PVR', 'KFC', 'O-Zone Restaurant cum Bar', ""McDonald's"", 'KFC', 'New Rajkumar Sweets', 'KFC', ""Santa's Fantasea"", 'Calcutta Public School', 'Little Friends school']",,['Lift(s)'],North
blue sky jhilbagan,0.21,baguiati,2557.0,Super Built up area 821(76.27 sq.m.),2.0,2,1,not available,4,South-West,1 to 5 Year Old,"['Union bank of india ATM', 'State bank of india ATM', 'Axis bank ATM', 'Bank of baroda ATM', 'Hdfc bank ATM', 'Icici bank ATM', 'Allahabad bank ATM', 'New Life Nursing Home Kolkata', 'New Town Nursing Home And Diagnostic Co P Ltd', 'Swasti Nursing Home', 'B B Eye Foundation VIP ROAD', 'Spandan Hospital', 'Kolkata Nursing Home', 'Avenue Nursing Home', 'Revive Nursing Home', 'Renaissance Hospital', 'Charnock Hospital Pvt Ltd', 'Maa Sarada Nursing Home', 'Little Hut Nirikshan Kendra', 'ILS Hospitals - Dumdum', 'CGHS Dispensary Salt-Lake AF', 'Tulip Nursing Home', 'CGHS Dispensary', 'Aditya Hospital', 'Anandalok Polyclinic', ""BF block Residents' Association"", 'Imagine Tech Park', 'P.S. Srijan Techpark', 'Airport Bus Stand lines VS1', 'Nagerbazar nursery', 'Hdfc bank', 'PVR', 'KFC', 'O-Zone Restaurant cum Bar', ""McDonald's"", 'KFC', 'New Rajkumar Sweets', 'KFC', ""Santa's Fantasea"", 'Calcutta Public School', 'Little Friends school']",,['Lift(s)'],North
on request,0.23,baguiati,2652.0,Super Built up area 867(80.55 sq.m.),2.0,2,1,not available,1,West,1 to 5 Year Old,"['Bank of baroda ATM', 'Hdfc bank ATM', 'Icici bank ATM', 'Union bank of india ATM', 'State bank of india ATM', 'Allahabad bank ATM', 'Axis bank ATM', 'Hdfc ATM', 'Citibank ATM', 'New Town Nursing Home And Diagnostic Co P Ltd', 'New Life Nursing Home Kolkata', 'Swasti Nursing Home', 'Revive Nursing Home', 'B B Eye Foundation VIP ROAD', 'Spandan Hospital', 'Kolkata Nursing Home', 'Avenue Nursing Home', 'Renaissance Hospital', 'Charnock Hospital Pvt Ltd', 'Tarulia Upashasthya Kendra', 'CGHS Dispensary Salt-Lake AF', 'Anandalok Polyclinic', 'Anandalok', 'Composite Hospital', ""BF block Residents' Association"", 'Imagine Tech Park', 'P.S. Srijan Techpark', 'Saltee Techpark', 'DLF Tower', 'New Town Bus Depot', 'Hdfc bank', 'Vijaya bank', 'Nazrul Tirtha', 'KFC', 'O-Zone Restaurant cum Bar', ""McDonald's"", 'KFC', ""Santa's Fantasea"", 'Stash Cafe', 'Penguin', 'Lazeez', 'Oval', 'Dominos Pizza', ""Mishra's"", 'Calcutta Public School', 'Little Friends school', 'West Bengal University of Technology', 'Maulana Abul Kalam Azad University of Technology']",,['Lift(s)'],North
